time,car,coolant_temp,intake_air_temp,intake_air_flow_speed,battery_percentage,battery_voltage,current_draw,speed,engine_vibration_amplitude,throttle_pos,tire_pressure_1_1,tire_pressure_1_2,tire_pressure_2_1,tire_pressure_2_2,accelerometer_1_1_value,accelerometer_1_2_value,accelerometer_2_1_value,accelerometer_2_2_value,control_unit_firmware
1567606196,car1,39.395103,34.53991,123.317406,0.82654595,246.12367,0.6586535,24.934872,2493.487,0.034893095,32,31,34,34,0.5295712,0.9600553,0.88389874,0.043890715,2000
1567606196,car2,27.261951,23.424862,13.865173,0.5625609,225.00488,18.777458,6.424663,642.4663,0.46949375,31,31,31,33,0.24873829,0.197083,0.74912405,0.2612446,2000
1567606196,car3,32.341415,26.121952,167.3628,0.3208452,205.66762,55.640038,40.766335,4076.6335,0.93776846,33,33,33,34,0.2623301,0.6496215,0.5694233,0.2040419,2000
1567606196,car4,34.918697,26.742683,121.89708,0.9466603,255.73282,0.2564386,24.59464,2459.464,0.027671695,33,34,32,33,0.78706735,0.7166151,0.75949156,0.14351755,2000
1567606196,car5,31.640057,21.437056,60.07594,0.8213593,245.70874,18.125257,19.322882,1932.2882,0.93955797,32,31,33,33,0.37517112,0.596698,0.55565435,0.25078344,2000
1567606196,car6,43.37993,35.03387,49.80291,0.5600175,224.8014,36.083744,16.942223,1694.2223,0.89763695,31,32,31,30,0.6667428,0.31891072,0.18731433,0.24358791,2000
1567606196,car7,37.64407,33.23572,186.69734,0.98142236,258.5138,1.6424503,39.30898,3930.898,0.25322205,31,33,30,30,0.4534195,0.4868338,0.6796131,0.5763213,2000
1567606196,car8,30.674446,19.33722,102.44299,0.5481665,223.85332,37.829075,27.639284,2763.9285,0.9193712,31,34,31,34,0.69427454,0.77778,0.7657266,0.69637305,2000
1567606196,car9,43.279194,24.778727,40.956604,0.9638418,257.10736,4.51579,12.641405,1264.1405,0.5721521,33,31,32,31,0.31624913,0.16833222,0.59727675,0.9098999,2000
1567606196,car10,39.153618,26.900057,65.37283,0.34165654,207.33252,31.140179,17.274544,1727.4543,0.5399955,33,30,33,32,0.08894271,0.07535434,0.1488322,0.82237995,2000
1567606196,car11,21.997871,16.516165,114.58522,0.35516033,208.41283,53.084934,30.213467,3021.3467,0.938109,32,31,34,34,0.75668406,0.22582799,3.9615526,0.5783049,2000
1567606196,car12,37.88016,24.811054,80.30751,0.41252655,213.00212,18.364452,18.808441,1880.8441,0.35317695,32,32,33,34,0.9352637,0.25054407,0.4981926,0.9218121,2000
1567606196,car13,39.63946,34.45648,1.5207648,0.44294435,215.43555,6.3770523,1.3048587,130.48587,0.12866181,34,33,34,33,0.8749931,0.9371042,0.34086913,0.61857027,2000
1567606196,car14,56.91253,35.701332,192.14964,0.52710897,222.16872,34.680428,44.7276,4472.76,0.8096985,32,33,31,33,0.09178436,0.5897883,0.7198769,0.5957894,2000
1567606196,car15,58.15831,38.808395,188.00461,0.99390084,259.5121,3.9652562,43.22072,4322.072,0.7225433,30,30,30,33,0.24841797,0.87625176,0.4887501,0.21896178,2000
1567606196,car16,53.2416,38.060555,18.917168,0.536857,222.94856,9.659397,5.570028,557.0028,0.22970432,34,31,34,31,0.8186619,0.8001758,0.7285464,0.16239017,2000
1567606196,car17,19.543142,15.171356,195.47119,0.9062658,252.50127,9.608919,45.073746,4507.3745,0.76879144,32,30,32,32,2.9341626,2.3116434,2.6581123,2.8182359,2000
1567606196,car18,40.8267,24.698143,131.8625,0.51212585,220.97006,2.7778919,26.86321,2686.321,0.06309098,34,30,33,33,0.5014756,0.26328343,0.91512376,0.4939189,2000
1567606196,car19,45.043922,29.352127,199.85602,0.8178963,245.4317,2.3671505,40.91207,4091.207,0.12096864,34,31,32,32,0.5995494,0.65462786,0.5757012,0.59930205,2000
1567606196,car20,50.580387,30.861275,23.71342,0.46475345,217.18027,24.66275,8.75404,875.404,0.5157442,31,34,30,33,0.1808905,0.507381,0.32399762,0.55801404,2000
1567606196,car21,29.668198,19.679628,193.56213,0.3537191,208.29753,44.086876,44.759766,4475.9766,0.7775125,33,33,32,30,0.5085813,0.80495596,0.07826531,0.58622605,2000
1567606196,car22,43.5058,27.409334,178.6605,0.83499914,246.79993,5.4502654,38.06127,3806.1272,0.29946393,30,30,34,33,0.21325827,0.5986076,0.10702926,0.19215596,2000
1567606196,car23,31.450201,19.275066,154.10345,0.75640184,240.51215,9.450089,33.822216,3382.2217,0.38590926,30,31,32,31,0.9786017,0.3439743,0.4319039,0.04034376,2000
1567606196,car24,41.71044,29.280045,70.19121,0.44040102,215.23209,0.028486328,14.042693,1404.2693,5.723834E-4,33,31,34,33,0.13328505,0.38665468,0.62500566,0.4521261,2000
1567606196,car25,36.571312,17.47046,153.43054,0.57285327,225.82826,32.925568,37.223694,3722.3694,0.840544,30,33,30,34,0.25390363,0.77523285,0.9649083,0.7391529,2000
1567606196,car26,22.110693,19.21129,144.29721,0.8904261,251.23409,12.655346,36.009766,3600.9766,0.91932476,34,34,32,32,0.06309754,0.8710573,0.99001926,0.29703915,2000
1567606196,car27,32.531147,28.579987,132.45174,0.96999604,257.59967,6.899672,33.74195,3374.195,0.9323466,34,30,30,31,0.92180324,0.30428743,0.23823214,0.35458392,2000
1567606196,car28,35.346745,28.32463,191.22615,0.572587,225.80696,32.69763,44.734028,4473.403,0.8342714,30,30,30,30,0.6108636,0.106544495,0.8084238,0.61053205,2000
1567606196,car29,52.44191,39.82406,1.5895128,0.6772139,234.17711,14.9116,4.0806723,408.06723,0.4837833,31,32,32,32,0.5274839,0.060226142,0.7582993,0.63860345,2000
1567606196,car30,35.3255,22.227554,149.74022,0.45188594,216.15088,9.511503,31.462473,3146.2473,0.19471186,34,34,34,30,0.017920911,0.22915727,0.8229214,0.59988195,2000
1567606196,car31,43.878002,38.58206,83.84338,0.89964855,251.9719,7.2521596,21.098227,2109.8228,0.55665493,34,34,31,32,0.31123883,0.109083354,0.6210137,0.6560996,2000
1567606196,car32,41.302452,32.46856,85.569954,0.72679037,238.14323,9.67929,19.917141,1991.7141,0.36040413,33,31,31,33,0.76985985,0.5118635,0.3041526,0.85364425,2000
1567606196,car33,27.037176,19.10091,104.66553,0.4981326,219.85062,10.585162,22.756592,2275.6592,0.23444754,32,33,32,30,0.16283637,0.22885633,0.16108835,0.76253676,2000
1567606196,car34,53.165108,32.15444,19.719505,0.38094488,210.47559,51.215816,11.249735,1124.9735,0.93931895,32,31,33,31,3.4447749,0.29522413,0.831922,0.43526965,2000
1567606196,car35,33.63319,31.050854,92.329094,0.82568306,246.05464,16.291536,25.154121,2515.412,0.85992235,30,30,33,30,0.31826067,0.2359547,0.51239926,0.7167464,1000
